team,Round of 64,Round of 32,Sweet 16,Elite 8,Final Four,Championship
Duke,1.0,0.8123,0.6584,0.4791,0.5232,0.1334
Illinois,1.0,0.8144,0.6678,0.4977,0.5088,0.1192
Florida,1.0,0.8275,0.5449,0.3938,0.4262,0.1064
Michigan,1.0,0.8219,0.6358,0.4571,0.5047,0.104
Houston,1.0,0.818,0.6038,0.4564,0.4579,0.1021
Iowa St.,1.0,0.82,0.6573,0.5251,0.5087,0.0953
Arizona,1.0,0.8144,0.6261,0.363,0.3665,0.0646
Purdue,1.0,0.8123,0.6458,0.2955,0.2515,0.0442
Texas Tech,1.0,0.8179,0.459,0.2252,0.1899,0.0205
NC State,1.0,0.4939,0.2446,0.1214,0.0964,0.0177
Tennessee,1.0,0.7949,0.4533,0.2602,0.1583,0.0167
Saint Mary's (CA),1.0,0.4987,0.2552,0.1251,0.0924,0.0159
South Fla.,1.0,0.5042,0.2473,0.1197,0.0889,0.0152
St. John's (NY),1.0,0.5013,0.2567,0.1308,0.093,0.015
McNeese,1.0,0.4991,0.2463,0.1191,0.0859,0.0138
UConn,1.0,0.8172,0.5295,0.3103,0.1742,0.0137
Michigan St.,1.0,0.7958,0.6357,0.2553,0.1519,0.0133
Louisville,1.0,0.7933,0.4297,0.2458,0.1479,0.0128
Vanderbilt,1.0,0.8162,0.4552,0.1725,0.1278,0.0107
Gonzaga,1.0,0.8016,0.4721,0.2483,0.12,0.0078
Virginia,1.0,0.5009,0.3865,0.1428,0.0855,0.0069
Iowa,1.0,0.8083,0.4283,0.2342,0.0987,0.0061
Ohio St.,1.0,0.7274,0.2498,0.0987,0.0727,0.005
Cincinnati,1.0,0.4987,0.2719,0.1049,0.0534,0.0048
Arkansas,1.0,0.8201,0.4101,0.1556,0.0736,0.0042
Alabama,1.0,0.7932,0.4208,0.1659,0.0624,0.0041
UCLA,1.0,0.727,0.2561,0.0707,0.0358,0.0028
Kansas,1.0,0.5456,0.1675,0.0613,0.0308,0.0022
Wisconsin,1.0,0.6465,0.1982,0.0639,0.0326,0.0021
SMU,1.0,0.3535,0.1337,0.0493,0.0283,0.0019
Nebraska,1.0,0.4958,0.2549,0.0991,0.0369,0.0017
Indiana,1.0,0.4544,0.1458,0.0497,0.0232,0.0017
Santa Clara,1.0,0.5079,0.1473,0.0688,0.0303,0.0015
North Carolina,1.0,0.7472,0.2748,0.0821,0.033,0.0015
Auburn,1.0,0.4825,0.1439,0.0581,0.0192,0.0012
Texas A&M,1.0,0.504,0.1577,0.0445,0.0131,0.0011
Utah St.,1.0,0.5175,0.153,0.053,0.0147,0.0011
BYU,1.0,0.496,0.1345,0.0367,0.0096,0.001
Kentucky,1.0,0.4921,0.141,0.0558,0.0229,0.0008
Georgia,1.0,0.6245,0.1856,0.0644,0.0202,0.0007
Miami (FL),1.0,0.5061,0.1483,0.0564,0.0183,0.0007
Oklahoma,1.0,0.2051,0.0704,0.0217,0.0081,0.0005
New Mexico,1.0,0.1821,0.0482,0.0094,0.0019,0.0004
Miami (OH),1.0,0.1725,0.0622,0.0183,0.005,0.0004
Texas,1.0,0.5013,0.1451,0.0368,0.0111,0.0004
San Diego St.,1.0,0.2068,0.077,0.0241,0.0066,0.0004
West Virginia,1.0,0.18,0.0458,0.01,0.0036,0.0004
Stanford,1.0,0.1877,0.0636,0.0176,0.0037,0.0003
Clemson,1.0,0.2726,0.0754,0.0198,0.0091,0.0003
Washington,1.0,0.182,0.0643,0.0163,0.0059,0.0002
TCU,1.0,0.1917,0.0445,0.0132,0.0028,0.0002
Saint Louis,1.0,0.3755,0.0924,0.0301,0.0083,0.0002
UCF,1.0,0.1799,0.0613,0.0188,0.0047,0.0002
Missouri,1.0,0.1984,0.0551,0.0183,0.0041,0.0002
Virginia Tech,1.0,0.2042,0.0721,0.0173,0.0047,0.0002
Baylor,1.0,0.2067,0.0466,0.0127,0.0042,0.0001
Seton Hall,1.0,0.1828,0.0702,0.0138,0.0026,0.0001
Villanova,1.0,0.273,0.0784,0.0185,0.0059,0.0001
Florida St.,1.0,0.1781,0.039,0.0094,0.0021,0.0
Akron,1.0,0.1877,0.0409,0.0076,0.0033,0.0
Boise St.,1.0,0.1856,0.0439,0.0148,0.0046,0.0
Tulsa,1.0,0.1838,0.0376,0.0079,0.0022,0.0
Belmont,1.0,0.1856,0.0394,0.0074,0.0019,0.0
VCU,1.0,0.2528,0.0924,0.0189,0.0043,0.0
